horizon,n,pred_pct,avg_pips,med_pips,avg_r,med_r,reach_0.5R,reach_1.0R,reach_2.0R
1,19404,48.10863739435168,-0.0243764172335604,0.0,-0.0049389378897004,0.0,19.650587507730364,2.880849309420738,0.2834467120181406
3,19404,48.74768089053803,-0.0196093588950729,0.0,-0.0069085663126324,0.0,43.212739641311074,14.667078952793238,2.0511234796949083
5,19404,48.45908060193774,-0.0714234178519836,-0.1000000000006551,-0.0177305515727058,-0.0207092629133881,53.03545660688518,23.69614512471655,4.787672644815502
10,19404,48.11894454751597,-0.1106833642547933,-0.1999999999990898,-0.0273555229497456,-0.0395206238139218,61.74500103071532,36.5182436611008,11.466707895279324
20,19404,47.521129663986805,-0.2765976087404656,-0.4000000000004,-0.0597076746387749,-0.0790945581782587,64.60523603380747,44.289837146980005,19.815501958359103
40,19404,46.17089259946403,-0.4757678829107408,-0.99999999999989,-0.117049874174658,-0.2120703605052531,65.17212945784374,47.32529375386518,26.262626262626267
80,19404,44.37744794887652,-1.3275716347144957,-2.5999999999992696,-0.2946484414168789,-0.5082082180696977,65.22881880024737,47.83549783549784,28.78787878787879
