horizon,n,pred_pct,avg_pips,med_pips,avg_r,med_r,reach_0.5R,reach_1.0R,reach_2.0R
1,22309,48.34371778206105,0.005486574924920495,0.0,0.0021242318834013684,0.0,22.174906988211035,3.3394594110000444,0.2823972387825541
3,22309,48.88161728450402,0.0033484244027069646,0.0,0.0027149485443501817,0.0,46.49244699448653,16.509032229145188,2.1291855305033844
5,22308,48.870360408821945,0.032279899587593856,0.0,0.009067676387456251,0.0,56.26681011296396,26.533082302313073,5.437511206741976
10,22304,49.47991391678623,0.1442521520803433,0.0,0.029892918626016268,0.0,64.83590387374461,40.0286944045911,13.571556671449066
20,22302,49.49331898484441,0.22118644067796506,0.0,0.031952215258811846,0.0,68.02528921172988,48.237826203927895,23.666038920276208
40,22290,49.59174517720951,0.11111260655002592,-0.09999999999843467,0.0018579192981466154,-0.01514622198915741,68.6630776132795,51.46253925527142,31.018393898609244
80,22267,49.42291283064625,-0.3831005523869449,-0.1999999999990898,-0.07817216079757265,-0.041514389444693135,68.75645574168051,51.98724569991467,34.01446086136435
