horizon,n,pred_pct,avg_pips,med_pips,avg_r,med_r,reach_0.5R,reach_1.0R,reach_2.0R
1,41713,48.234363387912644,-0.008405053580417531,0.0,-0.001161404399706239,0.0,21.000647280224392,3.1261237503895667,0.2828854314002829
3,41713,48.81931292402848,-0.007331047874763382,0.0,-0.0017617057908664302,0.0,44.96679692182293,15.652194759427518,2.0928727255292117
5,41712,48.67903720751822,-0.015961833525121014,-0.09999999999843467,-0.0033985878851508187,-0.013946579795443559,54.76361718450327,25.213367855772916,5.1352128883774455
10,41708,48.84674402992232,0.02564735782104075,-0.10000000000065512,0.003258969255725564,-0.021407951714661866,63.3979092740002,38.39551165244078,12.592308430037402
20,41706,48.57574449719465,-0.010410972042392436,-0.1999999999990898,-0.010693171581757241,-0.04243643889099155,66.43408622260586,46.400997458399274,21.874550424399366
40,41694,47.999712188804146,-0.1620161174269663,-0.4999999999988347,-0.053480662381382875,-0.10292273625300111,67.0384227946467,49.53710365999904,28.80510385187317
80,41671,47.07350435554702,-0.8228912193131955,-1.2999999999996348,-0.178973815404782,-0.26240577108229496,67.11382016270308,50.053994384584,31.58071560557702
