horizon,n,pred_pct,avg_pips,med_pips,avg_r,med_r,reach_0.5R,reach_1.0R,reach_2.0R
1,2877,46.64581160931526,-0.04132777198472852,-0.09999999999843467,-0.010865578175672656,-0.018090152969916146,22.419186652763294,3.8929440389294405,0.3475842891901286
3,2877,47.44525547445255,-0.0637817170663727,-0.1999999999990898,-0.016742066634687854,-0.03350470812259443,46.33298574904414,17.51824817518248,2.8849496002780675
5,2877,45.35974973931178,-0.16472019464719745,-0.2999999999997449,-0.03738803136425859,-0.07459480391361986,54.64025026068822,25.99930483142162,7.021202641640597
10,2877,45.98540145985402,-0.26878693083073923,-0.40000000000040004,-0.0565513996615506,-0.09997366473171078,61.31386861313869,36.70490093847758,13.555787278415016
20,2877,46.367744177963154,-0.43072645116442604,-0.6000000000017103,-0.09750316175286017,-0.13111203603269467,64.19881821341676,44.038929440389296,22.071602363573167
40,2876,47.009735744089014,-0.7657858136300477,-0.8000000000008001,-0.1641409374834346,-0.18294904265868833,64.8817802503477,46.90542420027816,28.025034770514605
80,2875,45.21739130434783,-1.5913391304347944,-1.8999999999991246,-0.36623368221047664,-0.4158578467954127,64.90434782608696,47.37391304347826,30.295652173913044
