horizon,n,pred_pct,avg_pips,med_pips,avg_r,med_r,reach_0.5R,reach_1.0R,reach_2.0R
1,1550,44.96774193548387,-0.1174193548387397,-0.10000000000065512,-0.021872012583149046,-0.03142512073284965,23.096774193548384,3.741935483870968,0.3225806451612903
3,1550,46.83870967741935,-0.09367741935480775,-0.14999999999987246,-0.014989545050088482,-0.036714405504462144,47.096774193548384,18.064516129032256,2.5806451612903225
5,1550,44.58064516129032,-0.1361935483870807,-0.30000000000196536,-0.029089368627016277,-0.07772740008122031,55.612903225806456,27.161290322580644,6.96774193548387
10,1550,45.03225806451613,-0.19393548387098047,-0.4999999999988347,-0.03728535590516019,-0.11351551463989915,62.0,38.32258064516129,14.000000000000002
20,1550,47.677419354838705,-0.22393548387098788,-0.2999999999997449,-0.036469541566289065,-0.0802225590999325,65.41935483870968,45.09677419354839,23.225806451612904
40,1549,48.7411233053583,-0.3726920593931528,-0.2999999999997449,-0.05483185029634433,-0.07601733508302576,66.30083925112976,48.28921885087153,29.373789541639766
80,1548,47.351421188630496,-1.4796511627906948,-0.8000000000008001,-0.29166134107914315,-0.20710207030589206,66.343669250646,48.77260981912145,32.10594315245478
