horizon,n,pred_pct,avg_pips,med_pips,avg_r,med_r,reach_0.5R,reach_1.0R,reach_2.0R
1,1327,48.60587792012057,0.04755086661641492,0.0,0.001990468042555228,0.0,21.62773172569706,4.069329314242653,0.37678975131876413
3,1327,48.15373021853805,-0.028862094951019053,-0.1999999999990898,-0.018789096368017937,-0.028125706307689242,45.440844009042955,16.88018085908063,3.2403918613413714
5,1327,46.269781461944234,-0.19804069329315147,-0.2999999999997449,-0.047081269678294464,-0.06812228424348767,53.50414468726451,24.642049736247174,7.083647324792766
10,1327,47.09871891484552,-0.35621703089677237,-0.2999999999997449,-0.0790550679527376,-0.07267005561329916,60.51243406179352,34.81537302185381,13.03692539562924
20,1327,44.83798040693293,-0.6722682743029559,-1.100000000000545,-0.16879337372662442,-0.22236976380156814,62.773172569706105,42.8033157498116,20.723436322532027
40,1327,44.98869630746044,-1.2246420497362651,-1.8999999999991246,-0.2917368501080035,-0.35398363305704,63.22532027128862,45.29012810851545,26.45064054257724
80,1327,42.72795779954785,-1.7216277317257265,-3.4000000000000696,-0.4532253808324091,-0.6737249987868795,63.22532027128862,45.742275810097965,28.183873398643556
