horizon,n,pred_pct,avg_pips,med_pips,avg_r,med_r,reach_0.5R,reach_1.0R,reach_2.0R
1,41713,48.23436338791264,-0.0084050535804175,0.0,-0.0011614043997062,0.0,21.000647280224392,3.1261237503895667,0.2828854314002829
3,41713,48.81931292402848,-0.0073310478747633,0.0,-0.0017617057908664,0.0,44.96679692182293,15.652194759427518,2.092872725529212
5,41712,48.67903720751822,-0.015961833525121,-0.0999999999984346,-0.0033985878851508,-0.0139465797954435,54.76361718450327,25.21336785577292,5.1352128883774455
10,41708,48.84674402992232,0.0256473578210407,-0.1000000000006551,0.0032589692557255,-0.0214079517146618,63.3979092740002,38.39551165244078,12.592308430037402
20,41706,48.57574449719465,-0.0104109720423924,-0.1999999999990898,-0.0106931715817572,-0.0424364388909915,66.43408622260586,46.40099745839928,21.874550424399366
40,41694,47.99971218880415,-0.1620161174269663,-0.4999999999988347,-0.0534806623813828,-0.1029227362530011,67.0384227946467,49.53710365999904,28.80510385187317
80,41671,47.07350435554702,-0.8228912193131955,-1.2999999999996348,-0.178973815404782,-0.2624057710822949,67.11382016270308,50.053994384584,31.58071560557702
