horizon,n,pred_pct,avg_pips,med_pips,avg_r,med_r,reach_0.5R,reach_1.0R,reach_2.0R
1,19404,48.108637394351675,-0.024376417233560498,0.0,-0.004938937889700448,0.0,19.650587507730364,2.880849309420738,0.2834467120181406
3,19404,48.74768089053803,-0.0196093588950729,0.0,-0.006908566312632423,0.0,43.212739641311074,14.667078952793238,2.0511234796949083
5,19404,48.45908060193774,-0.07142341785198367,-0.10000000000065512,-0.01773055157270588,-0.02070926291338819,53.03545660688518,23.69614512471655,4.787672644815502
10,19404,48.11894454751597,-0.11068336425479337,-0.1999999999990898,-0.027355522949745675,-0.039520623813921865,61.745001030715315,36.518243661100804,11.466707895279324
20,19404,47.521129663986805,-0.27659760874046563,-0.40000000000040004,-0.05970767463877495,-0.0790945581782587,64.60523603380747,44.289837146980005,19.815501958359103
40,19404,46.17089259946403,-0.4757678829107408,-0.9999999999998899,-0.11704987417465806,-0.21207036050525319,65.17212945784374,47.32529375386518,26.262626262626267
80,19404,44.37744794887652,-1.3275716347144955,-2.5999999999992696,-0.29464844141687896,-0.5082082180696977,65.22881880024737,47.83549783549784,28.78787878787879
